,Unnamed: 0,Unnamed: 0.1,user_name,ID,user_location,user_description,user_verified,date,text,language,favourites-count,author,retweet-count,hashtags,source
0,0,0,science_kingong_ii,1485376509959360517,"Warri, Nigeria","Manchester United Fc,Wizkid fc. Book addict 📚,Violence and cruise Lord🦅🔨",False,2022-01-23 22:18:51+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,okekeikedichuk1,193,['Buhari'],Twitter for iPhone
1,1,1,Still Rich,1485376501885423616,,Still rich as fxck,False,2022-01-23 22:18:49+00:00,"You all are saying trash, okoye gave his best. Is it a crime to be a fine boy. Tomorrow your girl will be on his DM. Ya better think right.
#okoye #ghanavsnigeria #Nigeriavstunisia #Buhari",en,0,StillRich_asf,0,,Twitter for Android
2,2,2,Adegbola Taiwo🇳🇬,1485376486043533326,"Ibadan, Nigeria",Abeg app: @Adetywo,False,2022-01-23 22:18:45+00:00,"Maduka after the match knowing Nigerians will drag him
#sadiq
#Buhari https://t.co/3Mn0sgaRxY",en,0,Adetywoo,0,"['sadiq', 'Buhari']",Twitter for Android
3,3,3,iam._lolu,1485376482419560448,Nigeria,🎶 🎶 music..,False,2022-01-23 22:18:45+00:00,Nigeria suppose get YouTube channel😂😂 which kind Netflix season film be this. Trailer bam bam😩😩 movie just whack on top one call😭😭 this 2022 may Buhari not call you o😩 at the peak of your success may Buhari not dial your number #AFCON2021 #Buhari,en,0,iam_Loluu,0,,Twitter for iPhone
4,4,4,Ikiriko_emma,1485376478003007489,"Lagos, Nigeria",Stop dying to live the life that I'm dying to leave,False,2022-01-23 22:18:43+00:00,"I just regret watching this match. This country na pure cruise ..... Swears

#AFCON2021 #SuperEagles #buhari #Nigeriavstunisia #Nigeria #iwobi #NIGTUN",en,0,ikirikococsy,0,"['AFCON2021', 'SuperEagles', 'buhari']",Twitter for Android
5,5,5,Jubril Olalekan,1485376477138980870,Lagos,"A student of philosophy, UI. A singer 🎶 , a prolific songwriter ✍️ and a poet.  😊",False,2022-01-23 22:18:43+00:00,"#Buhari be like ""I'm only one call away""!💔🥺
Comrade why?!😓",en,0,lakesjay_Muzicx,0,['Buhari'],Twitter Web App
6,6,6,Abobey,1485376472235839492,,,False,2022-01-23 22:18:42+00:00,"#madukaokoye I stand by you 
You need to improve 
Na the zoom call cause am not you #Buhari https://t.co/G6iOyFlGem",en,0,Abobey3,0,"['madukaokoye', 'Buhari']",Twitter for Android
7,7,7,Thefreedog🐼🦖,1485376459648688129,"Los Angeles, CA",BEAUTY and IMAGINATIONS that INSPIRE✨🤞🏿,False,2022-01-23 22:18:39+00:00,"RT @thefreedog_: Pray against any form of Buhari call in your life. Amen🤲
#SoarSuperEagles 
#Buhari 
#okoye 
#Nigeriavstunisia https://t.co…",en,0,thefreedog_,1,"['SoarSuperEagles', 'Buhari', 'okoye', 'Nigeriavstunisia']",Twitter for Android
8,8,8,Adewale Elijah,1485376422197739523,"Federal Capital Territory, Nig",,False,2022-01-23 22:18:30+00:00,#Nigeriavstunisia #Buhari Soon you hear I had Buhari today. It didn't go well.,en,0,Elijah813555104,0,"['Nigeriavstunisia', 'Buhari']",Twitter for Android
9,9,9,Thefreedog🐼🦖,1485376385057177601,"Los Angeles, CA",BEAUTY and IMAGINATIONS that INSPIRE✨🤞🏿,False,2022-01-23 22:18:21+00:00,"Pray against any form of Buhari call in your life. Amen🤲
#SoarSuperEagles 
#Buhari 
#okoye 
#Nigeriavstunisia https://t.co/qiyrLJwAZd",en,1,thefreedog_,1,"['SoarSuperEagles', 'Buhari', 'okoye', 'Nigeriavstunisia']",Twitter for Android
10,10,10,PDP Mobilization Team,1485376384310591489,"Lagos, Nigeria",PDP mobilization 2023,False,2022-01-23 22:18:21+00:00,"@chemicalbrodar Small #Ghana 
Talk loud and we will colonize you 
If not for #Buhari call, we won't be in this situation",en,0,PDPmobilizatio,0,"['Ghana', 'Buhari']",Twitter for Android
11,11,11,chisoma,1485376370251378693,Eungu,With God all things are possible.,False,2022-01-23 22:18:18+00:00,"RT @BiafraGenerati2: - We don’t have light 
- Our keeper is a super model 
- We are out of Afcon 
- #Buhari is our president 

Ghana what d…",en,0,julietogechi941,8,['Buhari'],Twitter for Android
12,12,12,KDC,1485376340589264900,Nigeria,I am a KEYBOARD COMEDIAN • please subscribe to my YouTube 👉🏾https://t.co/rCkw7MClRY • Instagram @im_kdc,False,2022-01-23 22:18:11+00:00,"Oh God, Nigeria why🥺😭😭😭
Buhari, why??

#Buhari #phonecall #madukaokoye #Nigeriavstunisia #Nigeriavsghana #Nigeria https://t.co/qShoGa30yC",en,1,im_kdc,0,"['Buhari', 'phonecall', 'madukaokoye', 'Nigeriavstunisia', 'Nigeriavsghana', 'Nigeria']",Twitter for Android
13,13,13,Lifeofanigboman🔥🐉,1485376323056984068,,Am a good boy on a very good day😊 💪🏼💪🏼 Lover of music and a fan of football💯💯 #MU-FC❤️❤️❤️🦅,False,2022-01-23 22:18:07+00:00,"RT @olafrika: ""Iyalaya anybody can be beaten"" 😭🤣🤣🤣
#NIGTUN  #okoye #Buhari https://t.co/Rr6MHmZ0Wd",en,0,kojos_funzone,37,"['NIGTUN', 'okoye', 'Buhari']",Twitter for iPhone
14,14,14,YOUNGGENUIZ,1485376320892768263,WARRI,To pursue a dynamic and highly rewarding career that will enable me to utilize my skills and knowledge efficiently leaving enough room for creativity.,False,2022-01-23 22:18:06+00:00,"The way BTC is going, I bet #Buhari bought some.

#Okoye",en,0,younggenuiz,0,"['Buhari', 'Okoye']",Twitter Web App
15,15,15,UfonduEmmanuel,1485376307567415300,"Abia, Nigeria",,False,2022-01-23 22:18:03+00:00,"RT @Olamidenelson3: Okoye's mate are catching ball, the only thing Maduka can catch is  Women's attention 🤦‍♂️
#okoye #buhari #ghanians htt…",en,0,_UfonduEmmanuel,3,"['okoye', 'buhari', 'ghanians']",Twitter for iPhone
16,16,16,Bhaba,1485376300307173378,,Cool😰,False,2022-01-23 22:18:01+00:00,“The voice of agilinti fit kill as a”- Afcon2022 #AFCON2021 #Buhari,en,0,Bhaba91390587,0,"['AFCON2021', 'Buhari']",Twitter for Android
17,17,17,King's Landing#,1485376289569746945,Marjan,https://t.co/4PjcIcFawk,False,2022-01-23 22:17:59+00:00,"Just one call from Buhari and you're done!! 🤣😅

May Buhari Never call you!! 😂
#Buhari #okoye #musa #Redcard",en,0,nzycrep,0,"['Buhari', 'okoye', 'musa', 'Redcard']",Twitter for Android
18,18,18,Queen Mercy,1485376263221092354,,★𝙒𝙚𝙡𝙘𝙤𝙢𝙚 𝙩𝙤 𝙈𝙮 𝘽𝙞𝙤🎶𝙈𝙪𝙨𝙞𝙘 𝙇𝙤𝙫𝙚𝙧🎶 𝙄 𝙡𝙤𝙫𝙚 𝙙𝙖𝙣𝙘𝙚💃💖𝙇𝙤𝙫𝙚 𝙈𝙮 𝙁𝙖𝙢𝙞𝙡𝙮 & 𝙁𝙧𝙞𝙚𝙣𝙙𝙨★,False,2022-01-23 22:17:52+00:00,The Moment call came in #Musa knew it was over #Nigeriavstunisia #Nigeria #buhari https://t.co/bnVLOAXx59,en,0,Queen_Mercy2,0,"['Musa', 'Nigeriavstunisia', 'Nigeria', 'buhari']",Twitter for iPhone
